City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Xinyang,CN,75.51,scattered clouds,32.12,114.07,Jinjiang Inn Style Xinyang Dongfanghong Avenue Culture Center
17,Marzuq,YE,79.14,scattered clouds,14.4,46.47,
26,Eydhafushi,MV,82.02,overcast clouds,5.1,73.07,Soneva Fushi
31,Los Llanos De Aridane,ES,75.2,overcast clouds,28.66,-17.92,Valle Aridane
35,Georgetown,MY,77.0,mist,5.41,100.34,Cititel Penang
48,Hambantota,LK,79.86,broken clouds,6.12,81.12,Bungalow 63
53,Butaritari,KI,82.92,broken clouds,3.07,172.79,Isles Sunset Lodge
59,Atuona,PF,78.3,scattered clouds,-9.8,-139.03,Villa Enata
60,Mayor Pablo Lagerenza,PY,82.22,broken clouds,-19.93,-60.77,
67,Kikwit,CD,78.62,broken clouds,-5.04,18.82,Centre D'Accueil Protestant
68,Minab,IR,78.8,clear sky,27.15,57.08,فروشگاه موبایل ترکمانی
69,Jorhat,IN,76.46,broken clouds,26.75,94.22,Hotel Jora Palace
74,Avarua,CK,78.8,clear sky,-21.21,-159.78,Paradise Inn
80,Hobyo,SO,76.53,overcast clouds,5.35,48.53,Osmani Hotel
85,Arraial Do Cabo,BR,77.0,clear sky,-22.97,-42.03,Pousada Porto Praia
88,Bethel,US,75.99,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
92,Vanimo,PG,82.78,scattered clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
94,Bonito,BR,79.32,scattered clouds,-21.12,-56.48,Marruá Hotel
96,Barra Patuca,HN,81.46,overcast clouds,15.8,-84.28,
102,Shingu,JP,80.6,few clouds,33.73,135.98,Shingu UI Hotel
104,Wanning,CN,82.98,broken clouds,18.8,110.4,Paradise Hotel
116,Sinnamary,GF,79.32,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
118,Martapura,ID,75.2,mist,-3.42,114.85,Montana Hotel Syariah
123,Hays,US,78.01,broken clouds,30.05,-98.03,Sinya on Lone Man Creek
124,Kupang,ID,80.6,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
125,Itaituba,BR,82.72,broken clouds,-4.28,-55.98,Hotel Campos
129,Mount Isa,AU,75.2,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
131,Dingle,PH,82.71,broken clouds,11.0,122.67,Camp Pasica
132,Limbang,MY,78.8,broken clouds,4.75,115.0,Purnama Hotel
136,Harper,LR,75.52,broken clouds,4.38,-7.72,Screensaver
138,Batticaloa,LK,80.17,broken clouds,7.71,81.69,Grand Star Guest House
139,Funehiki,JP,79.0,broken clouds,37.43,140.58,花の湯
142,Grand-Santi,GF,75.78,broken clouds,4.25,-54.38,Hotel La Villa Couacou
145,Rockland,US,77.0,clear sky,41.17,-74.05,National Camp Association
148,Tual,ID,80.24,broken clouds,-5.67,132.75,Grand Vilia Hotel
160,Mareeba,AU,77.0,scattered clouds,-17.0,145.43,Trinity Plains Tourist Park
163,Serik,TR,78.8,clear sky,36.92,31.1,Royal Seginus Lara
172,Savelugu,GH,75.16,moderate rain,9.62,-0.83,Yoo Naa's Palace
185,Sorong,ID,80.89,scattered clouds,-0.88,131.25,The Waigo Hotel
190,Male,MV,82.4,broken clouds,4.17,73.51,Hotel Octave Maldives
191,Iracoubo,GF,79.41,clear sky,5.48,-53.2,Le Gite D Iracoubo
194,Puerto Plata,DO,79.0,scattered clouds,19.79,-70.69,Be Live Collection Marien
198,That Phanom,TH,78.8,few clouds,16.94,104.71,ณ ธาตุพนมเพลส Na That Panom Place Hotel
202,Mogadishu,SO,76.39,scattered clouds,2.04,45.34,Hotel Juba
207,Donghai,CN,81.14,clear sky,22.95,115.64,Huacheng Restaurant
209,Jalu,LY,79.72,clear sky,29.03,21.55,Jalu Hotel
217,Hithadhoo,MV,82.02,scattered clouds,-0.6,73.08,Scoop Guest House
224,Naze,JP,78.8,shower rain,28.37,129.48,奄美ポートタワーホテル
226,Sompeta,IN,80.02,clear sky,18.93,84.6,V.B.R A/C Lodge And Function Hall
228,Praya,CV,80.6,scattered clouds,14.92,-23.51,LT Aparthotel
233,Sibu,MY,75.2,moderate rain,2.3,111.82,RH HOTEL (4 Star)
243,Sabang,ID,82.29,overcast clouds,5.89,95.32,Hotel Citra
247,Hamilton,US,75.2,few clouds,39.18,-84.53,Six Acres Bed & Breakfast
250,Natal,BR,75.2,clear sky,-5.79,-35.21,Villa Park Hotel | Natal
255,Sibolga,ID,75.22,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
256,Vila Velha,BR,78.01,clear sky,-20.33,-40.29,Hotel Vitória Palace
270,Takahashi,JP,80.01,broken clouds,34.78,133.62,Takahashiutsukushiimori Camping Ground
274,Beberibe,BR,78.8,few clouds,-4.18,-38.13,Villa Arte Pousada Morro Branco
280,Kirakira,SB,82.62,scattered clouds,-10.45,161.92,SanBiz Lodge
281,Salalah,OM,78.8,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
286,Ugoofaaru,MV,81.64,overcast clouds,5.67,73.0,Ungoofaaru Inn
290,Port Macquarie,AU,79.0,light rain,-31.43,152.92,Rydges Port Macquarie
295,Port Blair,IN,81.73,overcast clouds,11.67,92.75,Fortune Resort Bay Island
297,Yamada,JP,75.06,overcast clouds,39.47,141.95,Iroha-ya Inn
298,Merauke,ID,82.06,clear sky,-8.47,140.33,
303,Jabinyanah,TN,80.6,broken clouds,35.03,10.91,maison belmabrouk
306,Mastic,US,78.8,clear sky,40.8,-72.84,Brushwood House by Smith Point Beach
312,Bull Savanna,JM,78.4,clear sky,17.89,-77.59,Big Red's
316,Neiafu,TO,77.0,few clouds,-18.65,-173.98,Mystic Sands
320,Charters Towers,AU,75.09,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
321,Nishihara,JP,80.6,broken clouds,26.18,127.76,Minshuku Agaihama
326,Bambanglipuro,ID,77.95,scattered clouds,-7.95,110.28,Puri Brata
329,Novo Oriente,BR,76.96,scattered clouds,-5.53,-40.77,Açude do Rodrigão
330,Tucurui,BR,79.79,overcast clouds,-3.77,-49.67,BBB Rooms Centro Tucurui PA
333,Hervey Bay,AU,75.99,few clouds,-25.3,152.85,Shelly Bay Resort
334,Ranong,TH,75.2,few clouds,9.97,98.63,Tinidee Hotel@Ranong
340,Sao Filipe,CV,79.83,moderate rain,14.9,-24.5,Tortuga B&B
341,Faanui,PF,78.1,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
344,Banjar,ID,78.8,broken clouds,-8.19,114.97,The Hamsa Resort
346,San Quintin,MX,77.54,scattered clouds,30.48,-115.95,Old Mill Hotel
367,Bandarbeyla,SO,75.43,broken clouds,9.49,50.81,REER XOOSHLE GROUP
375,Miranda,CO,82.4,scattered clouds,3.25,-76.23,Parqueadero toño lasso
381,Sao Felix Do Xingu,BR,78.15,scattered clouds,-6.64,-51.99,Apart Hotel Rio Xingu
384,Santa Cruz De La Palma,ES,75.2,overcast clouds,28.68,-17.76,H10 Taburiente Playa
386,Guerrero Negro,MX,78.78,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
388,Marawi,PH,80.01,broken clouds,8.0,124.29,Derogongan Residence
389,Padang,ID,77.13,overcast clouds,-0.95,100.35,Mercure Padang
394,Tecoanapa,MX,78.53,overcast clouds,16.52,-98.75,Hotel Manglares
400,Thinadhoo,MV,82.45,moderate rain,0.53,72.93,
401,Gushikawa,JP,78.8,light rain,26.35,127.87,Kirari Guest House
404,Bima,ID,81.82,clear sky,-8.47,118.72,Lambitu Hotel
405,Meulaboh,ID,77.56,overcast clouds,4.14,96.13,Kost Pria
406,Pangkalanbuun,ID,77.58,light rain,-2.68,111.62,Grand Kecubung Hotel
408,Bathsheba,BB,80.6,scattered clouds,13.22,-59.52,Atlantis Hotel
415,Karratha,AU,78.69,scattered clouds,-20.74,116.85,ibis Styles Karratha
420,Tambopata,PE,79.21,scattered clouds,-12.73,-69.18,
424,Shimoda,JP,82.99,scattered clouds,34.67,138.95,Shimoda Tokyu Hotel
426,Aquiraz,BR,78.8,few clouds,-3.9,-38.39,Hotel Laguna Blu
433,Biak,ID,79.97,scattered clouds,-0.91,122.88,Kost Ariz
436,Teknaf,BD,80.06,broken clouds,20.86,92.31,Magnum Engineering & Construction
437,Katsuura,JP,82.99,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
439,Tondano,ID,80.6,few clouds,1.3,124.91,Villa Bella
442,Labuhan,ID,78.12,scattered clouds,-6.88,112.21,bador sepret
452,Biltine,TD,79.18,overcast clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
460,Mahibadhoo,MV,82.33,broken clouds,3.78,72.97,Omadhoo Inn
466,Zlitan,LY,77.43,clear sky,32.47,14.57,القسم الداخلي للجامعة الأسمرية
467,Niquero,CU,82.44,light rain,20.04,-77.58,
468,San Pedro,PH,82.4,broken clouds,14.35,121.02,OYO 412 Viewfort Venue
480,Bengkulu,ID,75.42,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
484,Half Moon Bay,US,79.0,haze,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
486,Nam Som,TH,77.0,broken clouds,17.77,102.19,โรงแรมวุฒิโชค น้ำโสม
487,Assare,BR,76.06,few clouds,-6.87,-39.88,José Xavier de Andrade
489,Qui Nhon,VN,81.93,broken clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
490,Pemberton,CA,78.01,overcast clouds,50.32,-122.8,Pemberton Valley Lodge
492,Pacific Grove,US,75.0,clear sky,36.62,-121.92,Lovers Point Inn
493,Tuy Hoa,VN,81.07,broken clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
495,Kanker,IN,75.07,broken clouds,20.27,81.49,STARiHOTEL Kanker
497,Kasongo-Lunda,CD,76.14,clear sky,-6.47,16.82,
503,Mayo,US,82.4,overcast clouds,38.89,-76.51,Resorts Resource Group International
506,Mastic Beach,US,78.8,clear sky,40.77,-72.85,Brushwood House by Smith Point Beach
510,Yarada,IN,80.6,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
511,Cairns,AU,77.0,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
512,Marsa Matruh,EG,78.8,clear sky,31.35,27.25,Beau Site
517,Puerto Escondido,MX,79.32,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
522,Metro,ID,76.24,broken clouds,-5.11,105.31,OYO 3177 Wisma Lintang
525,Manado,ID,80.6,few clouds,1.49,124.85,Aryaduta Hotel
527,Sakaiminato,JP,78.8,broken clouds,35.55,133.23,味処・民宿 まつや
528,Kamaishi,JP,77.0,thunderstorm,39.27,141.88,Hotel Route Inn Kamaishi
530,Bahia Honda,CU,81.1,overcast clouds,22.9,-83.16,Casa Gualberto - Deysi
538,Varca,IN,78.58,light rain,15.22,73.92,"Taj Exotica Resort & Spa, Goa"
545,Morehead,US,78.8,clear sky,37.27,-87.18,CCI Express Inn
546,Santarem,BR,82.4,broken clouds,-2.44,-54.71,Hotel Imperador
547,Madrid,ES,75.99,clear sky,40.42,-3.7,Iberostar Las Letras Gran Vía
548,Miri,MY,77.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
551,Coroata,BR,78.46,clear sky,-4.13,-44.12,Hotel Carvalho
554,Iwanai,JP,80.2,overcast clouds,42.97,140.51,いわない高原ホテル
562,Tevaitoa,PF,78.55,broken clouds,-16.78,-151.5,Hôtel Raiatea Lodge
564,Ottumwa,US,80.6,clear sky,41.02,-92.41,Hampton Inn Ottumwa
567,Gewane,ET,76.78,clear sky,10.17,40.65,
