City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.88,147.33,48.2,57,40,16.11,"{'coord': {'lon': 147.33, 'lat': -42.88}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 46.4, 'feels_like': 33.76, 'temp_min': 46, 'temp_max': 48.2, 'pressure': 1004, 'humidity': 57}, 'visibility': 10000, 'wind': {'speed': 16.11, 'deg': 320}, 'clouds': {'all': 40}, 'dt': 1599159770, 'sys': {'type': 1, 'id': 9545, 'country': 'AU', 'sunrise': 1599165130, 'sunset': 1599205664}, 'timezone': 36000, 'id': 2163355, 'name': 'Hobart', 'cod': 200}"
1,Kaoma,ZM,-14.78,24.8,71.08,35,0,7.49,"{'coord': {'lon': 24.8, 'lat': -14.78}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 71.08, 'feels_like': 65.05, 'temp_min': 71.08, 'temp_max': 71.08, 'pressure': 1016, 'humidity': 35, 'sea_level': 1016, 'grnd_level': 894}, 'visibility': 10000, 'wind': {'speed': 7.49, 'deg': 118}, 'clouds': {'all': 0}, 'dt': 1599159874, 'sys': {'country': 'ZM', 'sunrise': 1599107081, 'sunset': 1599149754}, 'timezone': 7200, 'id': 913323, 'name': 'Kaoma', 'cod': 200}"
2,Busselton,AU,-33.65,115.33,59.0,69,93,12.82,"{'coord': {'lon': 115.33, 'lat': -33.65}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 56.95, 'feels_like': 49.01, 'temp_min': 55, 'temp_max': 59, 'pressure': 1011, 'humidity': 69}, 'visibility': 10000, 'wind': {'speed': 12.82, 'deg': 280}, 'clouds': {'all': 93}, 'dt': 1599159874, 'sys': {'type': 3, 'id': 2011706, 'country': 'AU', 'sunrise': 1599172380, 'sunset': 1599213771}, 'timezone': 28800, 'id': 2075265, 'name': 'Busselton', 'cod': 200}"
3,Masallatah,LY,32.62,14.0,75.9,92,29,13.44,"{'coord': {'lon': 14, 'lat': 32.62}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 75.9, 'feels_like': 77.77, 'temp_min': 75.9, 'temp_max': 75.9, 'pressure': 1018, 'humidity': 92, 'sea_level': 1018, 'grnd_level': 990}, 'visibility': 10000, 'wind': {'speed': 13.44, 'deg': 95}, 'clouds': {'all': 29}, 'dt': 1599159874, 'sys': {'country': 'LY', 'sunrise': 1599108026, 'sunset': 1599153992}, 'timezone': 7200, 'id': 2215163, 'name': 'Masallātah', 'cod': 200}"
4,Bafia,CM,4.75,11.23,71.62,96,99,3.51,"{'coord': {'lon': 11.23, 'lat': 4.75}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 71.62, 'feels_like': 77.49, 'temp_min': 71.62, 'temp_max': 71.62, 'pressure': 1013, 'humidity': 96, 'sea_level': 1013, 'grnd_level': 958}, 'visibility': 10000, 'wind': {'speed': 3.51, 'deg': 217}, 'rain': {'1h': 0.23}, 'clouds': {'all': 99}, 'dt': 1599159874, 'sys': {'country': 'CM', 'sunrise': 1599109724, 'sunset': 1599153624}, 'timezone': 3600, 'id': 2235194, 'name': 'Bafia', 'cod': 200}"
5,Albany,US,42.6,-73.97,79.0,53,100,1.52,"{'coord': {'lon': -73.97, 'lat': 42.6}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 77.59, 'feels_like': 79.68, 'temp_min': 75.99, 'temp_max': 79, 'pressure': 1006, 'humidity': 53}, 'visibility': 10000, 'wind': {'speed': 1.52, 'deg': 294}, 'clouds': {'all': 100}, 'dt': 1599159875, 'sys': {'type': 3, 'id': 19530, 'country': 'US', 'sunrise': 1599128617, 'sunset': 1599175617}, 'timezone': -14400, 'id': 5106841, 'name': 'Albany', 'cod': 200}"
6,Luwuk,ID,-0.95,122.79,77.92,76,100,5.39,"{'coord': {'lon': 122.79, 'lat': -0.95}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 77.92, 'feels_like': 82.38, 'temp_min': 77.92, 'temp_max': 77.92, 'pressure': 1009, 'humidity': 76, 'sea_level': 1009, 'grnd_level': 1008}, 'visibility': 10000, 'wind': {'speed': 5.39, 'deg': 235}, 'clouds': {'all': 100}, 'dt': 1599159875, 'sys': {'country': 'ID', 'sunrise': 1599169513, 'sunset': 1599213058}, 'timezone': 28800, 'id': 1637001, 'name': 'Luwuk', 'cod': 200}"
7,Vaini,TO,-21.2,-175.2,68.0,72,20,14.99,"{'coord': {'lon': -175.2, 'lat': -21.2}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 68, 'feels_like': 62.33, 'temp_min': 68, 'temp_max': 68, 'pressure': 1014, 'humidity': 72}, 'visibility': 10000, 'wind': {'speed': 14.99, 'deg': 210}, 'clouds': {'all': 20}, 'dt': 1599159876, 'sys': {'type': 1, 'id': 7285, 'country': 'TO', 'sunrise': 1599241610, 'sunset': 1599283962}, 'timezone': 46800, 'id': 4032243, 'name': 'Vaini', 'cod': 200}"
8,Punta Arenas,CL,-53.15,-70.92,44.6,75,40,9.17,"{'coord': {'lon': -70.92, 'lat': -53.15}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 44.29, 'feels_like': 36.34, 'temp_min': 44.01, 'temp_max': 44.6, 'pressure': 1000, 'humidity': 75}, 'visibility': 10000, 'wind': {'speed': 9.17, 'deg': 160}, 'clouds': {'all': 40}, 'dt': 1599159876, 'sys': {'type': 1, 'id': 8487, 'country': 'CL', 'sunrise': 1599131811, 'sunset': 1599170959}, 'timezone': -10800, 'id': 3874787, 'name': 'Punta Arenas', 'cod': 200}"
9,Ostrovnoy,RU,68.05,39.51,50.74,84,98,13.09,"{'coord': {'lon': 39.51, 'lat': 68.05}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 50.74, 'feels_like': 42.46, 'temp_min': 50.74, 'temp_max': 50.74, 'pressure': 1023, 'humidity': 84, 'sea_level': 1023, 'grnd_level': 1021}, 'visibility': 10000, 'wind': {'speed': 13.09, 'deg': 211}, 'clouds': {'all': 98}, 'dt': 1599159876, 'sys': {'country': 'RU', 'sunrise': 1599098189, 'sunset': 1599151587}, 'timezone': 10800, 'id': 556268, 'name': 'Ostrovnoy', 'cod': 200}"
