City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Coihaique,CL,2020-08-31 19:41:14,-45.58,-72.07,51.8,50,20,5.82
1,Rikitea,PF,2020-08-31 19:41:15,-23.12,-134.97,69.31,85,100,16.15
2,Komsomolskiy,UZ,2020-08-31 19:41:15,40.43,71.72,69.8,56,0,4.7
3,Mataura,NZ,2020-08-31 19:41:16,-46.19,168.86,45.0,72,67,11.01
4,Ushuaia,AR,2020-08-31 19:38:32,-54.8,-68.3,37.4,81,40,38.03
5,Pundri,IN,2020-08-31 19:41:16,29.75,76.55,80.31,77,0,8.48
6,Faanui,PF,2020-08-31 19:41:16,-16.48,-151.75,77.32,76,0,21.27
7,Mehamn,NO,2020-08-31 19:41:16,71.04,27.85,46.4,70,79,10.29
8,Freeport,US,2020-08-31 19:37:03,40.66,-73.58,75.2,44,1,6.93
9,Coquimbo,CL,2020-08-31 19:37:19,-29.95,-71.34,57.2,67,90,8.05
10,Portland,US,2020-08-31 19:38:15,45.52,-122.68,72.0,63,75,4.7
11,Xining,CN,2020-08-31 19:41:17,36.62,101.77,51.28,74,19,2.55
12,Albany,US,2020-08-31 19:41:17,42.6,-73.97,73.99,44,100,6.08
13,Avarua,CK,2020-08-31 19:41:18,-21.21,-159.78,73.4,69,31,9.17
14,Hermanus,ZA,2020-08-31 19:37:15,-34.42,19.23,48.0,90,1,7.56
15,Kitimat,CA,2020-08-31 19:41:18,54.05,-128.65,53.6,93,90,23.04
16,Ngaoundere,CM,2020-08-31 19:41:18,7.32,13.58,65.46,97,100,1.12
17,East London,ZA,2020-08-31 19:41:18,-33.02,27.91,58.68,58,91,10.16
18,Airai,TL,2020-08-31 19:41:19,-8.93,125.41,59.05,100,23,4.47
19,Tautira,PF,2020-08-31 19:41:19,-17.73,-149.15,78.8,69,20,2.24
20,Naraini,IN,2020-08-31 19:41:19,25.18,80.48,80.8,81,100,5.35
21,Saint George,US,2020-08-31 19:40:44,37.1,-113.58,93.99,31,1,8.05
22,Port Lincoln,AU,2020-08-31 19:41:20,-34.73,135.87,48.99,70,79,14.05
23,Fortuna,US,2020-08-31 19:38:00,40.6,-124.16,79.0,52,20,13.87
24,Saldanha,ZA,2020-08-31 19:41:20,-33.01,17.94,51.8,71,8,1.12
25,Hilo,US,2020-08-31 19:40:54,19.73,-155.09,82.4,61,40,3.36
26,Cabo San Lucas,MX,2020-08-31 19:41:20,22.89,-109.91,90.0,70,40,13.87
27,Vila Velha,BR,2020-08-31 19:41:21,-20.33,-40.29,79.0,78,75,10.29
28,Hobart,AU,2020-08-31 19:36:29,-42.88,147.33,37.99,88,27,6.93
29,Yellowknife,CA,2020-08-31 19:41:04,62.46,-114.35,50.0,61,75,8.05
30,Alofi,NU,2020-08-31 19:41:21,-19.06,-169.92,77.0,83,40,11.41
31,Mar Del Plata,AR,2020-08-31 19:41:22,-38.0,-57.56,46.4,52,20,10.29
32,Zeya,RU,2020-08-31 19:41:22,53.75,127.27,52.18,93,100,3.6
33,Sao Filipe,CV,2020-08-31 19:41:22,14.9,-24.5,77.41,78,64,13.53
34,Necochea,AR,2020-08-31 19:37:55,-38.55,-58.74,46.0,65,37,4.0
35,Guerrero Negro,MX,2020-08-31 19:41:22,27.98,-114.06,81.55,51,0,11.7
36,Mayo,US,2020-08-31 19:41:23,38.89,-76.51,75.99,69,75,6.93
37,Butaritari,KI,2020-08-31 19:41:23,3.07,172.79,83.53,73,100,9.93
38,Shiloh,US,2020-08-31 19:41:23,38.56,-89.9,79.0,94,1,4.7
39,Dwarka,IN,2020-08-31 19:41:23,22.24,68.97,81.28,80,13,14.97
40,Vaini,TO,2020-08-31 19:41:24,-21.2,-175.2,77.0,88,75,9.17
41,Praya,CV,2020-08-31 19:41:24,14.92,-23.51,80.6,69,75,10.29
42,Kaitangata,NZ,2020-08-31 19:41:24,-46.28,169.85,38.64,83,99,6.55
43,Saint-Philippe,RE,2020-08-31 19:41:25,-21.36,55.77,69.8,72,39,6.93
44,Busselton,AU,2020-08-31 19:41:25,-33.65,115.33,52.0,98,48,22.39
45,Kathu,TH,2020-08-31 19:41:25,7.92,98.33,84.99,94,40,2.24
46,Bredasdorp,ZA,2020-08-31 19:41:26,-34.53,20.04,48.2,87,0,1.12
47,Kapaa,US,2020-08-31 19:41:26,22.08,-159.32,81.0,69,20,17.22
48,Port Blair,IN,2020-08-31 19:41:26,11.67,92.75,81.3,77,100,4.36
49,Arraial Do Cabo,BR,2020-08-31 19:41:27,-22.97,-42.03,75.2,83,19,18.34
50,Thompson,CA,2020-08-31 19:40:59,55.74,-97.86,53.6,81,75,12.75
51,Te Anau,NZ,2020-08-31 19:41:27,-45.42,167.72,35.28,89,96,3.94
52,Puerto Ayora,EC,2020-08-31 19:41:28,-0.74,-90.35,73.4,69,66,25.28
53,Manokwari,ID,2020-08-31 19:41:29,-0.87,134.08,78.48,68,72,2.89
54,Sangmelima,CM,2020-08-31 19:41:29,2.93,11.98,68.36,98,100,3.87
55,Aklavik,CA,2020-08-31 19:41:29,68.22,-135.01,48.2,76,75,5.82
56,Khailar,IN,2020-08-31 19:41:29,25.35,78.53,77.92,85,28,6.89
57,Cabedelo,BR,2020-08-31 19:41:30,-6.98,-34.83,73.4,100,75,11.41
58,Van Wert,US,2020-08-31 19:39:43,40.87,-84.58,82.99,42,1,5.82
59,Chake Chake,TZ,2020-08-31 19:41:30,-5.25,39.77,74.86,78,2,9.93
60,Hithadhoo,MV,2020-08-31 19:41:30,-0.6,73.08,81.82,78,100,12.97
61,Nikolskoye,RU,2020-08-31 19:41:31,59.7,30.79,57.99,87,40,4.47
62,Nuevo Progreso,MX,2020-08-31 19:41:31,23.17,-97.95,93.99,55,0,5.01
63,Kodiak,US,2020-08-31 19:41:31,57.79,-152.41,57.67,67,6,12.84
64,Farah,AF,2020-08-31 19:41:31,32.5,62.5,63.75,32,0,6.11
65,Hovd,MN,2020-08-31 19:41:32,48.01,91.64,54.7,53,0,0.76
66,Chuzhou,CN,2020-08-31 19:41:32,32.32,118.3,82.0,90,58,5.32
67,Namibe,AO,2020-08-31 19:41:32,-15.2,12.15,62.28,71,0,7.05
68,Leningradskiy,RU,2020-08-31 19:41:33,69.38,178.42,35.98,95,100,4.94
69,Ostrovnoy,RU,2020-08-31 19:41:33,68.05,39.51,44.51,90,23,4.92
70,Atuona,PF,2020-08-31 19:41:33,-9.8,-139.03,78.64,78,41,26.31
71,Namanyere,TZ,2020-08-31 19:41:34,-7.52,31.05,66.51,40,3,2.53
72,Porto De Moz,BR,2020-08-31 19:41:34,-1.75,-52.24,94.26,42,45,3.56
73,Jinka,ET,2020-08-31 19:41:34,5.65,36.65,67.32,70,100,1.59
74,Sao Joao Da Barra,BR,2020-08-31 19:40:05,-21.64,-41.05,80.6,65,17,18.34
75,Chabahar,IR,2020-08-31 19:41:34,25.29,60.64,84.2,79,0,7.25
76,Lavrentiya,RU,2020-08-31 19:41:35,65.58,-171.0,44.37,71,100,17.31
77,Jamestown,US,2020-08-31 19:41:21,42.1,-79.24,75.0,64,90,10.29
78,Karymskoye,RU,2020-08-31 19:41:35,51.62,114.35,50.14,91,100,2.15
79,Whitehorse,CA,2020-08-31 19:37:56,60.72,-135.05,60.8,41,40,20.8
80,Quatre Cocos,MU,2020-08-31 19:41:36,-20.21,57.76,72.0,88,75,23.04
81,Saint-Pierre,RE,2020-08-31 19:41:36,-21.34,55.48,68.0,72,0,6.93
82,Ponta Do Sol,PT,2020-08-31 19:41:36,32.67,-17.1,73.4,60,20,19.46
83,Victoria,HK,2020-08-31 19:41:36,22.29,114.16,84.0,74,3,5.01
84,Chuy,UY,2020-08-31 19:41:37,-33.7,-53.46,48.81,77,100,9.75
85,Bluff,NZ,2020-08-31 19:41:37,-46.6,168.33,45.0,72,91,11.01
86,Mangrol,IN,2020-08-31 19:41:37,21.12,70.12,80.44,84,41,9.4
87,Longyearbyen,SJ,2020-08-31 19:41:38,78.22,15.64,39.2,89,40,11.41
88,Onokhino,RU,2020-08-31 19:41:38,56.92,65.54,62.6,77,100,8.95
89,Ribeira Grande,PT,2020-08-31 19:41:38,38.52,-28.7,77.0,65,20,11.41
90,Dudinka,RU,2020-08-31 19:41:39,69.41,86.18,44.6,100,90,4.47
91,Tiksi,RU,2020-08-31 19:41:39,71.69,128.87,40.5,90,0,9.44
92,Mushie,CD,2020-08-31 19:41:39,-3.02,16.9,78.87,75,99,3.13
93,Sharan,RU,2020-08-31 19:41:40,54.82,54.0,62.82,81,0,7.54
94,Chokurdakh,RU,2020-08-31 19:41:40,70.63,147.92,38.55,88,100,9.73
95,Hirara,JP,2020-08-31 19:41:40,24.8,125.28,82.17,87,100,53.17
96,Bethel,US,2020-08-31 19:41:41,41.37,-73.41,75.99,53,20,4.12
97,Katsuura,JP,2020-08-31 19:41:41,35.13,140.3,75.2,88,75,12.75
98,Port Elizabeth,ZA,2020-08-31 19:41:41,-33.92,25.57,48.2,76,100,3.36
99,Bulawayo,ZW,2020-08-31 19:41:41,-20.15,28.58,57.43,83,100,14.41
100,Punta Arenas,CL,2020-08-31 19:37:57,-53.15,-70.92,44.6,69,20,25.28
101,Suraabad,AZ,2020-08-31 19:41:42,40.82,49.47,71.6,78,0,4.7
102,New Norfolk,AU,2020-08-31 19:41:42,-42.78,147.06,37.99,78,48,2.53
103,Greytown,ZA,2020-08-31 19:41:42,-29.06,30.59,46.27,91,100,2.77
104,Sigli,ID,2020-08-31 19:41:43,5.38,95.96,78.31,79,100,7.38
